Date;Open;High;Low;Close
12.09.2018;105200;105200;105130;105160
12.09.2018;105140;105140;105030;105030
12.09.2018;105050;105060;105000;105010
12.09.2018;105030;105060;105020;105050
12.09.2018;105030;105040;105010;105030
12.09.2018;105040;105070;105040;105050
12.09.2018;105070;105070;105070;105070
12.09.2018;105070;105070;105070;105070
12.09.2018;105070;105070;105060;105060
12.09.2018;105050;105050;104980;104980
12.09.2018;104980;105020;104980;105020
12.09.2018;105040;105040;105040;105040
12.09.2018;105030;105030;104990;104990
12.09.2018;104970;104970;104950;104970
12.09.2018;104970;104980;104970;104980
12.09.2018;104970;104970;104970;104970
12.09.2018;104940;104950;104930;104930
12.09.2018;104930;104960;104930;104940
12.09.2018;104950;105000;104950;105000
12.09.2018;104930;104930;104800;104840
12.09.2018;104850;104880;104850;104880
12.09.2018;104890;104900;104840;104840
12.09.2018;104840;104880;104840;104870
12.09.2018;104900;104920;104880;104880
12.09.2018;104880;104890;104880;104890
12.09.2018;104920;104950;104920;104950
12.09.2018;104960;104970;104950;104960
12.09.2018;104950;104960;104940;104960
12.09.2018;105000;105000;105000;105000
12.09.2018;105010;105010;104990;104990
12.09.2018;105040;105040;105030;105030
12.09.2018;105000;105000;105000;105000
12.09.2018;104980;104980;104940;104940
12.09.2018;104930;104930;104900;104900
12.09.2018;104900;104950;104900;104950
12.09.2018;104970;104980;104960;104980
12.09.2018;104990;104990;104920;104940
12.09.2018;104960;104960;104960;104960
12.09.2018;104970;104970;104970;104970
12.09.2018;104990;104990;104990;104990
12.09.2018;104950;104970;104940;104970
12.09.2018;105000;105030;105000;105030
12.09.2018;105050;105100;105050;105080
12.09.2018;105060;105060;105030;105030
12.09.2018;105030;105040;105030;105040
12.09.2018;105040;105040;105040;105040
12.09.2018;105010;105040;105010;105040
12.09.2018;105010;105010;104950;104990
12.09.2018;105070;105140;105070;105140
12.09.2018;105150;105220;105150;105160
12.09.2018;105170;105340;105170;105220
12.09.2018;105330;105430;105330;105390
12.09.2018;105440;105580;105440;105520
12.09.2018;105540;105540;105500;105500
12.09.2018;105500;105510;105490;105490
12.09.2018;105500;105730;105500;105700
12.09.2018;105680;105680;105590;105620
12.09.2018;105630;105630;105610;105610
12.09.2018;105610;105610;105580;105580
12.09.2018;105580;105630;105580;105630
12.09.2018;105560;105570;105560;105560
12.09.2018;105550;105550;105530;105530
12.09.2018;105510;105520;105510;105520
12.09.2018;105510;105530;105510;105530
12.09.2018;105530;105550;105530;105550
12.09.2018;105570;105570;105500;105530
12.09.2018;105510;105510;105500;105500
12.09.2018;105480;105500;105480;105500
12.09.2018;105480;105480;105440;105440
12.09.2018;105460;105480;105460;105480
12.09.2018;105470;105490;105460;105490
12.09.2018;105480;105480;105420;105420
12.09.2018;105460;105490;105460;105490
12.09.2018;105500;105500;105500;105500
12.09.2018;105500;105500;105500;105500
12.09.2018;105510;105550;105510;105550
12.09.2018;105580;105590;105570;105570
12.09.2018;105590;105610;105590;105600
12.09.2018;105610;105610;105570;105590
12.09.2018;105590;105610;105590;105610
12.09.2018;105550;105550;105550;105550
12.09.2018;105540;105540;105540;105540
12.09.2018;105470;105470;105440;105440
12.09.2018;105450;105450;105450;105450
12.09.2018;105420;105450;105400;105400
12.09.2018;105390;105390;105380;105380
12.09.2018;105350;105370;105350;105370
