Date;Open;High;Low;Close
12.09.2018;105880;105920;105880;105900
12.09.2018;105900;105900;105900;105900
12.09.2018;105900;105910;105900;105910
12.09.2018;105870;105870;105810;105840
12.09.2018;105830;105860;105820;105860
12.09.2018;105840;105840;105830;105830
12.09.2018;105830;105830;105800;105800
12.09.2018;105850;105850;105850;105850
12.09.2018;105860;105900;105860;105860
12.09.2018;105840;105840;105840;105840
12.09.2018;105850;105850;105800;105800
12.09.2018;105800;105800;105790;105790
12.09.2018;105800;105800;105760;105760
12.09.2018;105720;105720;105710;105710
12.09.2018;105740;105760;105740;105760
12.09.2018;105790;105810;105790;105810
12.09.2018;105800;105820;105760;105760
12.09.2018;105740;105740;105740;105740
12.09.2018;105730;105730;105700;105700
12.09.2018;105710;105720;105710;105720
12.09.2018;105690;105690;105690;105690
12.09.2018;105740;105800;105740;105760
12.09.2018;105830;105830;105820;105820
12.09.2018;105770;105770;105770;105770
12.09.2018;105750;105750;105750;105750
12.09.2018;105750;105750;105740;105740
12.09.2018;105760;105760;105760;105760
12.09.2018;105770;105770;105770;105770
12.09.2018;105820;105830;105820;105830
12.09.2018;105900;105900;105900;105900
12.09.2018;105920;105970;105920;105970
12.09.2018;105940;105940;105940;105940
12.09.2018;105900;105900;105900;105900
12.09.2018;105860;105860;105800;105800
12.09.2018;105850;105850;105850;105850
12.09.2018;105880;105880;105880;105880
12.09.2018;105810;105810;105810;105810
12.09.2018;105900;105900;105900;105900
12.09.2018;105930;106050;105930;105930
12.09.2018;106030;106060;106010;106030
12.09.2018;106040;106050;105940;105940
12.09.2018;105910;105910;105910;105910
12.09.2018;105930;105950;105930;105940
12.09.2018;105920;105920;105900;105900
12.09.2018;105870;105870;105840;105850
12.09.2018;105850;105850;105850;105850
12.09.2018;105840;105840;105840;105840
12.09.2018;105840;105840;105820;105820
12.09.2018;105800;105800;105770;105770
12.09.2018;105770;105770;105720;105750
12.09.2018;105760;105760;105660;105660
12.09.2018;105690;105720;105690;105720
12.09.2018;105740;105740;105690;105690
12.09.2018;105680;105680;105630;105630
12.09.2018;105630;105640;105580;105610
12.09.2018;105580;105580;105560;105560
12.09.2018;105550;105550;105500;105500
12.09.2018;105500;105520;105450;105450
12.09.2018;105500;105500;105500;105500
12.09.2018;105510;105530;105480;105480
12.09.2018;105490;105520;105490;105520
12.09.2018;105510;105520;105490;105520
12.09.2018;105510;105640;105400;105640
12.09.2018;105630;105690;105620;105690
12.09.2018;105720;105720;105610;105610
12.09.2018;105640;105750;105640;105730
12.09.2018;105710;105710;105710;105710
12.09.2018;105670;105800;105670;105800
12.09.2018;105830;105830;105780;105780
12.09.2018;105730;105770;105730;105740
12.09.2018;105760;105780;105740;105740
12.09.2018;105720;105820;105720;105820
12.09.2018;105840;105840;105800;105820
12.09.2018;105790;105790;105790;105790
12.09.2018;105770;105790;105700;105700
12.09.2018;105650;105670;105630;105670
12.09.2018;105600;105610;105560;105560
12.09.2018;105570;105600;105570;105600
12.09.2018;105540;105540;105540;105540
12.09.2018;105530;105540;105470;105480
12.09.2018;105530;105540;105510;105540
12.09.2018;105490;105540;105450;105540
12.09.2018;105550;105550;105490;105490
12.09.2018;105500;105530;105500;105530
12.09.2018;105530;105620;105530;105620
12.09.2018;105570;105570;105560;105560
12.09.2018;105650;105680;105650;105680
12.09.2018;105670;105670;105540;105540
12.09.2018;105500;105520;105410;105410
12.09.2018;105480;105490;105480;105480
12.09.2018;105530;105530;105500;105520
12.09.2018;105510;105520;105490;105490
12.09.2018;105540;105540;105520;105520
12.09.2018;105490;105490;105320;105320
12.09.2018;105350;105450;105350;105440
12.09.2018;105410;105410;105410;105410
12.09.2018;105340;105350;105280;105280
12.09.2018;105280;105350;105280;105350
12.09.2018;105500;105680;105500;105670
12.09.2018;105700;105720;105700;105710
12.09.2018;105800;105920;105800;105870
12.09.2018;105900;106180;105900;106180
12.09.2018;106140;106250;106140;106170
12.09.2018;106140;106190;106110;106180
12.09.2018;106250;106340;106220;106250
12.09.2018;106260;106280;106250;106250
12.09.2018;106280;106280;106280;106280
12.09.2018;106280;106360;106280;106340
12.09.2018;106250;106260;106250;106260
12.09.2018;106380;106400;106380;106400
12.09.2018;106420;106450;106400;106400
12.09.2018;106370;106400;106370;106370
12.09.2018;106370;106520;106370;106480
12.09.2018;106420;106440;106390;106420
12.09.2018;106400;106400;106380;106400
12.09.2018;106430;106490;106400;106400
12.09.2018;106410;106550;106390;106480
12.09.2018;106500;106510;106450;106450
12.09.2018;106400;106400;106320;106400
12.09.2018;106430;106480;106380;106380
12.09.2018;106380;106380;106340;106350
12.09.2018;106320;106330;106270;106310
12.09.2018;106310;106310;106300;106300
12.09.2018;106330;106370;106330;106370
12.09.2018;106370;106370;106340;106340
12.09.2018;106370;106370;106310;106310
12.09.2018;106290;106290;106230;106250
12.09.2018;106310;106310;106310;106310
12.09.2018;106310;106330;106280;106280
12.09.2018;106310;106320;106280;106280
12.09.2018;106280;106280;106230;106230
12.09.2018;106090;106280;106090;106180
12.09.2018;106130;106130;106130;106130
12.09.2018;106100;106100;106060;106070
12.09.2018;106110;106110;106110;106110
12.09.2018;106180;106190;106180;106190
12.09.2018;106250;106250;106220;106230
12.09.2018;106220;106220;106170;106210
12.09.2018;106130;106130;106120;106120
12.09.2018;106120;106120;106120;106120
12.09.2018;106210;106210;106210;106210
12.09.2018;106200;106200;106140;106140
12.09.2018;106150;106150;106150;106150
12.09.2018;106100;106100;106090;106090
12.09.2018;106120;106150;106120;106140
12.09.2018;106160;106300;106160;106300
12.09.2018;106300;106300;106300;106300
12.09.2018;106310;106310;106310;106310
12.09.2018;106310;106310;106310;106310
12.09.2018;106280;106280;106260;106260
12.09.2018;106300;106320;106300;106300
12.09.2018;106280;106320;106280;106320
12.09.2018;106320;106320;106270;106270
12.09.2018;106290;106350;106290;106350
12.09.2018;106300;106300;106300;106300
12.09.2018;106250;106250;106250;106250
12.09.2018;106210;106210;106210;106210
12.09.2018;106300;106400;106300;106400
12.09.2018;106400;106400;106380;106380
12.09.2018;106350;106380;106350;106380
12.09.2018;106410;106410;106410;106410
12.09.2018;106430;106440;106420;106440
12.09.2018;106430;106430;106430;106430
12.09.2018;106390;106390;106390;106390
12.09.2018;106250;106250;106250;106250
12.09.2018;106260;106260;106220;106220
12.09.2018;106200;106200;105980;105980
12.09.2018;105960;106020;105950;106020
12.09.2018;106010;106010;105710;105710
12.09.2018;105660;105660;105530;105650
12.09.2018;105600;105860;105600;105860
12.09.2018;105920;105950;105840;105840
12.09.2018;105880;105920;105880;105920
12.09.2018;105860;105870;105860;105870
12.09.2018;105930;105970;105930;105960
12.09.2018;105870;105960;105860;105960
12.09.2018;106000;106100;106000;106100
12.09.2018;106100;106190;106100;106190
12.09.2018;106060;106060;106060;106060
12.09.2018;106040;106040;106040;106040
12.09.2018;106010;106010;106010;106010
12.09.2018;106080;106080;106080;106080
12.09.2018;106100;106100;106100;106100
12.09.2018;106100;106120;106100;106120
12.09.2018;106100;106120;106100;106120
12.09.2018;106150;106150;106150;106150
12.09.2018;106090;106090;106090;106090
12.09.2018;106060;106060;106060;106060
12.09.2018;106020;106020;106000;106000
12.09.2018;105960;105960;105950;105950
12.09.2018;106060;106060;106060;106060
12.09.2018;106090;106100;106090;106100
12.09.2018;106000;106000;106000;106000
12.09.2018;106030;106030;106030;106030
12.09.2018;106120;106120;106120;106120
12.09.2018;106100;106100;106100;106100
12.09.2018;106050;106060;106050;106060
12.09.2018;106120;106120;106120;106120
12.09.2018;106170;106170;106150;106150
12.09.2018;106190;106300;106190;106300
12.09.2018;106230;106230;106230;106230
12.09.2018;106100;106100;106100;106100
12.09.2018;106100;106100;106100;106100
12.09.2018;106120;106120;106120;106120
12.09.2018;106090;106090;106090;106090
12.09.2018;106150;106160;106140;106140
12.09.2018;106140;106160;106140;106160
12.09.2018;106200;106300;106200;106300
12.09.2018;106290;106290;106290;106290
12.09.2018;106290;106290;106290;106290
12.09.2018;106210;106210;106210;106210
12.09.2018;106200;106200;106200;106200
12.09.2018;106200;106200;106180;106180
12.09.2018;106200;106200;106150;106150
12.09.2018;106140;106140;106140;106140
12.09.2018;106100;106100;106100;106100
12.09.2018;106110;106120;106110;106120
12.09.2018;106200;106200;106200;106200
12.09.2018;106150;106150;106150;106150
12.09.2018;106150;106150;106150;106150
12.09.2018;106240;106270;106240;106270
12.09.2018;106260;106260;106260;106260
12.09.2018;106200;106220;106200;106220
12.09.2018;106130;106130;106130;106130
12.09.2018;106170;106170;106170;106170
12.09.2018;106130;106130;106130;106130
12.09.2018;106150;106150;106150;106150
12.09.2018;106170;106170;106170;106170
12.09.2018;106170;106170;106160;106160
12.09.2018;106130;106130;106130;106130
12.09.2018;106140;106140;106080;106080
12.09.2018;106120;106120;106120;106120
12.09.2018;106200;106200;106200;106200
12.09.2018;106220;106240;106220;106240
12.09.2018;106220;106220;106220;106220
12.09.2018;106160;106160;106160;106160
12.09.2018;106160;106160;106160;106160
12.09.2018;106200;106200;106200;106200
12.09.2018;106180;106200;106180;106200
12.09.2018;106190;106190;106190;106190
12.09.2018;106200;106200;106200;106200
12.09.2018;106180;106180;106180;106180
12.09.2018;106200;106200;106200;106200
12.09.2018;106200;106200;106200;106200
12.09.2018;106140;106140;106140;106140
12.09.2018;106170;106180;106160;106160
12.09.2018;106150;106150;106040;106040
12.09.2018;106000;106020;105990;106020
12.09.2018;106000;106000;106000;106000
12.09.2018;106010;106010;106010;106010
12.09.2018;105990;105990;105990;105990
12.09.2018;105960;105970;105950;105970
12.09.2018;105960;105960;105960;105960
12.09.2018;106000;106020;106000;106020
12.09.2018;106040;106070;106040;106070
12.09.2018;106020;106020;106020;106020
12.09.2018;106000;106000;105980;105980
12.09.2018;105900;105980;105900;105980
12.09.2018;105950;105950;105950;105950
12.09.2018;105950;105950;105950;105950
12.09.2018;105970;105970;105970;105970
12.09.2018;105930;105930;105800;105800
12.09.2018;105950;106000;105950;106000
12.09.2018;105850;105850;105850;105850
12.09.2018;105920;105920;105920;105920
12.09.2018;105950;105950;105950;105950
12.09.2018;105980;105980;105980;105980
12.09.2018;106010;106020;106010;106020
12.09.2018;106040;106040;106040;106040
12.09.2018;106030;106030;106030;106030
12.09.2018;106080;106080;106080;106080
12.09.2018;106050;106050;106050;106050
12.09.2018;106010;106040;106010;106040
12.09.2018;106010;106020;106000;106020
12.09.2018;106000;106000;106000;106000
12.09.2018;105920;105940;105920;105940
12.09.2018;105970;105970;105970;105970
12.10.2018;113030;114060;113030;113820
12.10.2018;113830;114030;113830;113990
12.10.2018;113990;114040;113900;113910
12.10.2018;113920;113980;113840;113880
12.10.2018;113880;113900;113790;113850
12.10.2018;113860;113940;113840;113890
12.10.2018;113890;113970;113840;113870
12.10.2018;113870;113960;113860;113950
12.10.2018;113940;113940;113880;113890
12.10.2018;113900;113900;113790;113890
12.10.2018;113900;113920;113820;113860
12.10.2018;113850;113920;113850;113890
12.10.2018;113890;113920;113850;113890
12.10.2018;113900;113930;113850;113890
12.10.2018;113900;113960;113890;113950
12.10.2018;113950;114000;113900;113950
12.10.2018;113950;113960;113880;113880
12.10.2018;113890;113890;113730;113770
12.10.2018;113770;113800;113720;113800
12.10.2018;113790;113860;113740;113850
12.10.2018;113850;114080;113850;114070
12.10.2018;114070;114150;113990;113990
12.10.2018;114000;114030;113940;113950
12.10.2018;113940;113970;113870;113880
12.10.2018;113880;113950;113840;113860
12.10.2018;113860;113920;113820;113830
12.10.2018;113840;113870;113810;113840
12.10.2018;113830;113970;113830;113910
12.10.2018;113920;114010;113920;114010
12.10.2018;114020;114040;113920;113980
12.10.2018;114000;114000;113840;113940
12.10.2018;113940;113940;113830;113830
12.10.2018;113820;113860;113770;113800
12.10.2018;113800;113850;113750;113790
12.10.2018;113810;113840;113750;113800
12.10.2018;113800;113850;113750;113790
12.10.2018;113790;113810;113670;113750
12.10.2018;113740;113830;113710;113800
12.10.2018;113800;113840;113770;113810
12.10.2018;113810;113860;113750;113760
12.10.2018;113760;113890;113750;113840
12.10.2018;113840;113910;113810;113910
12.10.2018;113910;113950;113900;113940
12.10.2018;113940;113980;113870;113880
12.10.2018;113890;114020;113890;113980
12.10.2018;114000;114070;113950;113960
12.10.2018;113960;114070;113950;114030
12.10.2018;114020;114090;113980;113980
12.10.2018;113980;114010;113940;113960
12.10.2018;113980;114140;113970;114110
12.10.2018;114100;114220;114070;114160
12.10.2018;114160;114180;114080;114110
12.10.2018;114110;114140;114070;114120
12.10.2018;114110;114200;114080;114170
12.10.2018;114170;114230;114140;114190
12.10.2018;114180;114190;114120;114140
12.10.2018;114130;114170;114030;114050
12.10.2018;114050;114120;114040;114090
12.10.2018;114080;114090;114000;114010
12.10.2018;114000;114160;114000;114100
12.10.2018;114100;114130;113970;113980
12.10.2018;113980;114060;113980;114010
12.10.2018;114020;114020;113960;114020
12.10.2018;114000;114070;113960;114020
12.10.2018;114020;114080;114010;114010
12.10.2018;114030;114040;113950;113970
12.10.2018;113980;113990;113920;113940
12.10.2018;113940;114000;113920;113990
12.10.2018;113990;114000;113970;113990
12.10.2018;113980;114050;113980;114050
12.10.2018;114040;114050;113940;113970
12.10.2018;113980;114020;113940;114010
12.10.2018;114010;114080;114010;114030
12.10.2018;114040;114070;114030;114070
12.10.2018;114060;114090;114020;114090
12.10.2018;114090;114180;114070;114140
12.10.2018;114140;114180;114040;114050
12.10.2018;114050;114080;113880;113890
12.10.2018;113890;113940;113880;113910
12.10.2018;113890;113920;113840;113870
12.10.2018;113870;113900;113810;113860
12.10.2018;113840;113900;113840;113900
12.10.2018;113900;113920;113720;113770
12.10.2018;113760;113800;113750;113760
12.10.2018;113770;113810;113740;113790
12.10.2018;113790;113870;113760;113810
12.10.2018;113800;113840;113800;113810
12.10.2018;113810;113850;113780;113830
12.10.2018;113840;113940;113830;113900
12.10.2018;113900;114100;113890;114090
12.10.2018;114100;114100;113980;114020
12.10.2018;114010;114080;113990;114020
12.10.2018;114020;114090;114010;114090
12.10.2018;114090;114100;114030;114060
12.10.2018;114060;114150;114030;114100
12.10.2018;114100;114160;114100;114140
12.10.2018;114150;114190;114130;114150
12.10.2018;114130;114160;114080;114100
12.10.2018;114100;114150;114080;114120
12.10.2018;114110;114160;114110;114110
12.10.2018;114100;114200;114100;114180
12.10.2018;114180;114330;114120;114250
12.10.2018;114270;114290;114210;114210
12.10.2018;114210;114260;114130;114170
12.10.2018;114170;114290;114170;114290
12.10.2018;114300;114420;114300;114340
12.10.2018;114350;114400;114320;114320
12.10.2018;114320;114420;114290;114310
12.10.2018;114330;114330;114270;114280
12.10.2018;114300;114310;114270;114290
12.10.2018;114290;114300;114230;114250
12.10.2018;114250;114320;114250;114300
12.10.2018;114310;114360;114280;114330
12.10.2018;114330;114330;114250;114260
12.10.2018;114260;114310;114240;114250
12.10.2018;114260;114290;114230;114240
12.10.2018;114250;114290;114230;114240
12.10.2018;114240;114340;114230;114340
12.10.2018;114340;114340;114270;114280
12.10.2018;114270;114300;114270;114300
12.10.2018;114290;114330;114270;114270
12.10.2018;114270;114310;114220;114280
12.10.2018;114280;114400;114280;114360
12.10.2018;114360;114460;114350;114420
12.10.2018;114430;114470;114370;114410
12.10.2018;114420;114430;114400;114410
12.10.2018;114420;114470;114390;114460
12.10.2018;114460;114470;114410;114420
12.10.2018;114410;114430;114310;114340
12.10.2018;114330;114350;114200;114230
12.10.2018;114230;114240;114130;114180
